Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
/Users/vishala/Documents/Table- non CDC data/UK/UK coronavirus-outbreak-faqs-what-you-can-and-cant-do.txt	8.7	9	51	7-8	8.4	66	9.6	8	10.1	7.4	8	11.2
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_animals.txt	11.7	11.2	43	9-10	12	44	11	13	13.5	10.9	13	14.6
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_basics.txt	14.3	14.7	30	13-15	14.9	26	12.1	17	14.9	11.1	17	15.7
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_communityevents.txt	9.4	11.3	43	9-10	10.2	51	11	13	11.4	7.4	12	12.7
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_Financial help.txt	10.1	10.9	44	9-10	12.4	48	11.1	17	12	9.2	12	13.3
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_funerals.txt	13.7	12.7	38	11-12	13.9	39	11.3	16	14.9	12.7	17	15.6
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_K12childcare.txt	12.4	14.2	32	11-12	11.5	41	11.4	16	13.4	8.6	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	14.2
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_keeping home safe.txt	11	11.8	41	9-10	11	50	10.8	13	12.2	8.7	11	13.3
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_parentsandchildren.txt	10.3	12	41	7-8	9.4	55	10.8	11	10.7	7.5	12	12
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_pregnancy.txt	12.8	13	37	11-12	12.6	40	11.7	16	12.6	10.2	17	14.3
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_protectyourself.txt	10.3	11.2	43	9-10	10.5	50	10.6	12	11.2	8.2	11	13
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_retirement community.txt	12	15.2	29	11-12	11.7	34	11.8	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	13.9	7.2	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	14
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_rumors.txt	10.3	13.1	36	9-10	11	41	11.8	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	11.8	7	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.5
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_Spread.txt	11.8	12.1	40	9-10	11.9	43	11	14	12.7	10	13	13.6
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_supportforbusiness.txt	12.7	13.8	34	13-15	13.6	37	11.6	17	14.3	9.6	13	15.5
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_symptomstesting.txt	10.3	12.2	39	9-10	10.7	44	11.5	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	11	7.5	13	12.9
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_Travel.txt	11	12.2	40	9-10	11	48	11.3	14	11.9	8.7	13	13.1
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_underlying conditions.txt	11.8	12.6	38	11-12	11.3	46	11.2	13	13	9.9	13	13.3
/Users/vishala/Documents/Table- non CDC data/US FAQ /US_watertransmission.txt	12.4	13.6	34	13-15	12.7	35	11.7	17	12.4	8.6	13	14.4
/Users/vishala/Documents/Table- non CDC data/US White house.txt	9.3	11.8	41	9-10	8.8	55	10.7	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	11.2	6.6	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	11.6
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-be-active-during-covid-19.txt	11.6	10.5	46	11-12	11.4	52	10.5	11	13.3	10.9	12	13.2
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-coronaviruses.txt	9.4	11	44	7-8	9.8	51	11	12	10.4	7.3	11	12.2
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-malaria-and-the-covid-19-pandemic.txt	17.3	16.2	25	16+	16.7	18	12.4	17	15.3	10.8	17	17.3
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-on-covid-19-hiv-and-antiretrovirals.txt	16.8	15.7	27	16+	15.9	23	12.4	17	15.6	12.2	17	16.7
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-on-covid-19-pregnancy-childbirth-and-breastfeeding.txt	9.3	12.4	39	9-10	9.4	48	11.7	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10.4	5.6	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	11.5
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-on-mass-gatherings-and-covid-19.txt	14.7	12.2	40	13-15	13.8	41	10.4	14	15.6	14	13	15.3
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-on-smoking-and-covid-19.txt	14.4	12.9	37	16+	13.8	37	11.7	15	15.3	13.5	17	15
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/q-a-similarities-and-differences-covid-19-and-influenza.txt	13.9	14.3	32	13-15	14.1	30	12.1	17	15.4	10.4	17	16.3
/Users/vishala/Documents/Table- non CDC data/WHO txt/FAQ files including UN general FAQ/UN GeneralFAQ.txt	9.7	11.4	43	9-10	10.1	50	11.1	12	10.9	7.5	11	12.2
/Users/vishala/Documents/Table- non CDC data/WHO txt/Non FAQ files/WHO_advice_for_public.txt	8.3	10.6	45	7-8	8.7	56	10.9	10	10.1	6.6	10	11.2
/Users/vishala/Documents/Table- non CDC data/WHO txt/Non FAQ files/WHO_myth_busters.txt	10.8	12.4	39	9-10	11.2	43	11.3	15	12.8	8.8	12	13.1
/Users/vishala/Documents/Table- non CDC data/WHO txt/Non FAQ files/WHO coronavirus landing page.txt	12.5	14.5	31	11-12	12.2	36	12.4	17	13.8	9.3	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.9
/Users/vishala/Documents/Table- non CDC data/WHO txt/WHO healthcare for COMPARISON/q-a-on-infection-prevention-and-control-for-health-care-workers-caring-for-patients-with-suspected-or-confirmed-2019-ncov.txt	15.1	15.4	28	16+	14.1	30	11.9	17	15.3	11.4	17	15.3
/Users/vishala/Documents/Table- non CDC data/WHO txt/WHO healthcare for COMPARISON/Q and A healthcare.txt	15.1	15.4	28	16+	14.1	30	11.9	17	15.3	11.4	17	15.3
